2024-01-10 14:00:00|Mortgage Payment Jan24|Metropolis Mortgage|-1725.00
2024-01-15 11:30:00|Cell Phone Bill|AT&T Mobility|-95.60
2024-01-25 13:30:00|Movie Tickets & Snacks|AMC Theaters|-45.00
2024-02-10 14:00:00|Mortgage Payment Feb24|Metropolis Mortgage|-1725.00
2024-02-14 19:00:00|Valentine's Dinner Cruise|City Cruises NY|-220.00
2024-02-28 10:00:00|Auto Loan Payment Feb24|Capital Auto Finance|-410.00
2024-03-10 14:00:00|Mortgage Payment Mar24|Metropolis Mortgage|-1725.00
2024-03-20 15:00:00|Home Office Chair|Staples|-250.00
2024-04-10 14:00:00|Mortgage Payment Apr24|Metropolis Mortgage|-1725.00
2024-04-15 10:00:00|Q1 Estimated Tax Payment|IRS|-1400.00
2024-04-25 20:00:00|Concert Ticket - Rock Band|Ticketmaster|-90.00
2024-04-30 10:00:00|Music Streaming Service|Spotify|-10.99
2024-05-08 18:30:00|Groceries - Week 1|Food Bazaar|-99.00
2024-05-10 14:00:00|Mortgage Payment May24|Metropolis Mortgage|-1725.00
2024-05-22 16:20:00|Garden Supplies|Home Depot|-88.50
2024-06-10 14:00:00|Mortgage Payment Jun24|Metropolis Mortgage|-1725.00
2024-06-15 11:00:00|Q2 Estimated Tax Payment|NYS Dept. Taxation|-900.00
2024-06-25 15:00:00|Summer Vacation Booking|Expedia|-1200.00
2024-07-10 14:00:00|Mortgage Payment Jul24|Metropolis Mortgage|-1725.00
2024-07-15 11:00:00|Air Conditioner Repair|HVAC Services Inc.|-325.00
2024-07-28 19:00:00|Broadway Show Tickets|Telecharge|-280.00
2024-08-10 14:00:00|Mortgage Payment Aug24|Metropolis Mortgage|-1725.00
2024-08-12 10:00:00|Car Insurance Premium|Geico|-110.00
2024-08-20 16:20:00|Online Course Subscription|Coursera|-49.00
2024-09-10 14:00:00|Mortgage Payment Sep24|Metropolis Mortgage|-1725.00
2024-09-18 18:30:00|Weekly Groceries|Trader Joe's|-105.60
2024-09-25 08:00:00|Gasoline Fill-up|Mobil|-58.00
2024-10-10 14:00:00|Mortgage Payment Oct24|Metropolis Mortgage|-1725.00
2024-10-15 11:00:00|Q3 Estimated Tax Payment|IRS|-1450.00
2024-10-20 11:00:00|Water Utility Bill|NYC Water Board|-60.15
2024-10-29 10:00:00|Halloween Costumes & Decor|Party City|-110.25
2024-11-10 14:00:00|Mortgage Payment Nov24|Metropolis Mortgage|-1725.00
2024-11-15 17:45:00|New Winter Coat|Patagonia|-350.00
2024-11-28 13:00:00|Thanksgiving Groceries|Fairway Market|-180.90
2024-12-10 14:00:00|Mortgage Payment Dec24|Metropolis Mortgage|-1725.00
2024-12-18 19:30:00|Holiday Party Catering|Delicious Bites Catering|-450.00
2024-12-24 15:00:00|Last Minute Holiday Gifts|Best Buy|-305.20
2025-01-10 14:00:00|Mortgage Payment Jan25|Metropolis Mortgage|-1750.00
2025-01-15 11:00:00|Electricity & Gas Bill|ConEdison|-140.80
2025-01-21 16:20:00|Books & Supplies|Amazon Marketplace|-68.40
2025-01-30 12:00:00|Gym Membership Fee|Equinox|-250.00
2025-02-10 14:00:00|Mortgage Payment Feb25|Metropolis Mortgage|-1750.00
2025-02-14 18:00:00|Valentine's Day Flowers|1-800-Flowers|-95.00
2025-02-22 08:00:00|Gasoline Fill-up|Shell Station|-55.30
2025-02-28 10:00:00|Auto Loan Payment Feb25|Capital Auto Finance|-415.00
2025-03-07 19:00:00|Dinner with Colleagues|The Capital Grille|-165.00
2025-03-10 14:00:00|Mortgage Payment Mar25|Metropolis Mortgage|-1750.00
2025-03-20 11:00:00|Internet Service Bill|Verizon Fios|-80.00
2025-03-25 15:00:00|Spring Clothing Shopping|Macy's|-210.75
2025-04-08 18:30:00|Groceries - Week 2|Whole Foods Market|-115.50
2025-04-10 14:00:00|Mortgage Payment Apr25|Metropolis Mortgage|-1750.00
2025-04-15 11:00:00|Q1 Estimated Tax Payment|NYS Dept. Taxation|-950.00
2025-04-22 09:15:00|Streaming Service Bundle|StreamCo|-45.99
2025-04-28 11:30:48|Living Room Sofa & Table|Scandinavian Designs|-2521.58
2025-04-28 12:52:14|iPhone 16 Pro Purchase|Apple Store|-1100.00
2025-04-29 09:51:07|New Car|BMW|-25000.00
2025-04-29 09:57:31|Gaming Pc|Amazon|-1500.00
2025-04-29 10:06:45|Stipend|YearUp|100.00
